date,year,decade,home_team,away_team,home_team_code,away_team_code,home_score,away_score,match_result,matchday_name,round,type,match_attendance,stadium_country_code,stadium_capacity
1967-05-10,1967,1960,Hungary,Netherlands,HUN,NED,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,23371.0,HUN,25311.0
1967-05-14,1967,1960,Albania,Yugoslavia,ALB,YUG,0.0,2.0,A,1,PRELIMINARY,GROUP_STAGE,21500.0,ALB,16147.0
1967-05-21,1967,1960,Poland,Belgium,POL,BEL,3.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,57050.0,POL,54374.0
1967-05-21,1967,1960,Republic of Ireland,Czechoslovakia,IRL,TCH,0.0,2.0,A,1,PRELIMINARY,GROUP_STAGE,6258.0,IRL,2740.0
1967-05-24,1967,1960,Denmark,Hungary,DEN,HUN,0.0,2.0,A,1,PRELIMINARY,GROUP_STAGE,34284.0,DEN,38052.0
1967-05-24,1967,1960,Switzerland,Romania,SUI,ROU,7.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,21337.0,SUI,15666.0
1967-05-31,1967,1960,Spain,Türki̇ye,ESP,TUR,2.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,27336.0,ESP,39713.0
1967-06-01,1967,1960,Sweden,Portugal,SWE,POR,1.0,1.0,D,1,PRELIMINARY,GROUP_STAGE,43347.0,SWE,35572.0
1967-06-04,1967,1960,Denmark,German Dem. Rep.,DEN,GDR,1.0,1.0,D,1,PRELIMINARY,GROUP_STAGE,23234.0,DEN,38052.0
1967-06-08,1967,1960,Norway,Portugal,NOR,POR,1.0,2.0,A,1,PRELIMINARY,GROUP_STAGE,29993.0,NOR,27184.0
1967-06-11,1967,1960,USSR,Austria,URS,AUT,4.0,3.0,H,1,PRELIMINARY,GROUP_STAGE,72142.0,RUS,81015.0
1967-06-11,1967,1960,Sweden,Bulgaria,SWE,BUL,0.0,2.0,A,1,PRELIMINARY,GROUP_STAGE,21695.0,SWE,35572.0
1967-06-18,1967,1960,Czechoslovakia,Türki̇ye,TCH,TUR,3.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,17839.0,SVK,29887.0
1967-06-25,1967,1960,Romania,Italy,ROU,ITA,0.0,1.0,A,1,PRELIMINARY,GROUP_STAGE,30353.0,ROU,0.0
1967-06-29,1967,1960,Norway,Bulgaria,NOR,BUL,0.0,0.0,D,1,PRELIMINARY,GROUP_STAGE,24453.0,NOR,27184.0
1967-07-16,1967,1960,USSR,Greece,URS,GRE,4.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,28040.0,GEO,44000.0
1967-08-30,1967,1960,USSR,Finland,URS,FIN,2.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,20597.0,RUS,81015.0
1967-09-03,1967,1960,Norway,Sweden,NOR,SWE,3.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,30915.0,NOR,27184.0
1967-09-06,1967,1960,Finland,USSR,FIN,URS,2.0,5.0,A,1,PRELIMINARY,GROUP_STAGE,7793.0,FIN,0.0
1967-09-13,1967,1960,Netherlands,German Dem. Rep.,NED,GDR,1.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,44505.0,NED,0.0
1967-09-17,1967,1960,Poland,France,POL,FRA,1.0,4.0,A,1,PRELIMINARY,GROUP_STAGE,51010.0,POL,0.0
1967-09-24,1967,1960,Austria,Finland,AUT,FIN,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,25231.0,AUT,49898.0
1967-09-27,1967,1960,Hungary,German Dem. Rep.,HUN,GDR,3.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,69871.0,HUN,25311.0
1967-10-01,1967,1960,Czechoslovakia,Spain,TCH,ESP,1.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,20354.0,CZE,19370.0
1967-10-04,1967,1960,Denmark,Netherlands,DEN,NED,3.0,2.0,H,1,PRELIMINARY,GROUP_STAGE,34375.0,DEN,38052.0
